time,open,high,low,close,volume
2024-05-04,98.96,99.79,97.97,98.41,78689
2024-05-05,98.41,98.57,97.73,98.15,224318
2024-05-06,98.15,99.58,97.69,99.28,164774
2024-05-07,99.28,99.59,97.70,98.13,106446
2024-05-08,98.13,100.55,96.98,99.25,130330
2024-05-09,99.25,100.18,97.74,98.94,79176
2024-05-10,98.94,100.18,98.58,99.50,171702
2024-05-11,99.50,100.97,98.11,100.31,150587
2024-05-12,100.31,101.32,98.42,99.25,93807
2024-05-13,99.25,100.14,99.01,99.80,246428
2024-05-14,99.80,100.44,99.60,99.79,224673
2024-05-15,99.79,101.05,99.63,100.64,68513
2024-05-16,100.64,101.21,99.45,100.74,135643
2024-05-17,100.74,102.57,100.64,101.47,100951
2024-05-18,101.47,101.64,99.91,100.37,214118
2024-05-19,100.37,101.49,98.24,100.72,236112
2024-05-20,100.72,101.41,99.65,101.28,185707
2024-05-21,101.28,101.82,98.70,99.58,142194
2024-05-22,99.58,100.66,98.94,99.85,132679
2024-05-23,99.85,101.06,99.78,100.16,144268
2024-05-24,100.16,100.76,99.34,99.65,205566
2024-05-25,99.65,100.79,97.76,99.60,240666
2024-05-26,99.60,100.44,98.20,98.55,74817
2024-05-27,98.55,99.28,97.16,98.22,126607
2024-05-28,98.22,98.86,97.83,97.94,219352
2024-05-29,97.94,98.27,97.57,97.73,146915
2024-05-30,97.73,98.20,96.49,96.76,198920
2024-05-31,96.76,97.87,96.00,97.76,149723
2024-06-01,97.76,97.89,96.63,97.23,107113
2024-06-02,97.23,98.66,96.55,97.97,63016
2024-06-03,97.97,98.46,96.33,97.39,51916
2024-06-04,97.39,101.30,97.26,99.73,65916
2024-06-05,99.73,100.81,99.02,99.87,160681
2024-06-06,99.87,101.05,99.15,100.66,76554
2024-06-07,100.66,101.08,99.78,100.19,56378
2024-06-08,100.19,101.07,99.98,100.53,128429
2024-06-09,100.53,102.27,98.97,100.45,202024
2024-06-10,100.45,101.52,100.44,101.17,57110
2024-06-11,101.17,103.40,100.60,102.51,160135
2024-06-12,102.51,102.55,99.74,101.36,169174
2024-06-13,101.36,103.47,100.95,101.20,64110
2024-06-14,101.20,101.94,99.49,100.88,215240
2024-06-15,100.88,101.00,99.13,99.92,248384
2024-06-16,99.92,100.25,99.74,99.86,238977
2024-06-17,99.86,101.77,99.61,101.21,234265
2024-06-18,101.21,103.29,99.70,102.63,123969
2024-06-19,102.63,102.80,100.65,101.54,118294
2024-06-20,101.54,101.82,100.69,100.74,110303
2024-06-21,100.74,101.23,99.14,99.96,60031
2024-06-22,99.96,100.74,98.55,99.13,202764
2024-06-23,99.13,100.82,98.67,99.64,216121
2024-06-24,99.64,100.96,99.24,100.21,242497
2024-06-25,100.21,100.64,97.91,99.83,117529
2024-06-26,99.83,99.91,98.69,98.81,64030
2024-06-27,98.81,99.33,97.76,98.09,136814
2024-06-28,98.09,98.94,98.09,98.55,209515
2024-06-29,98.55,99.06,96.78,97.73,142315
2024-06-30,97.73,98.82,97.46,98.10,122083
2024-07-01,98.10,98.29,97.79,98.01,86125
2024-07-02,98.01,99.35,97.90,99.04,190159
2024-07-03,99.04,100.61,97.41,99.98,122738
2024-07-04,99.98,101.21,98.40,100.96,64643
2024-07-05,100.96,102.05,100.18,101.34,105219
2024-07-06,101.34,102.56,99.29,99.89,120811
2024-07-07,99.89,101.11,98.22,98.70,155805
2024-07-08,98.70,99.17,97.68,97.96,186815
2024-07-09,97.96,98.04,97.67,97.85,57782
2024-07-10,97.85,99.46,96.45,97.24,110669
2024-07-11,97.24,98.10,97.18,97.79,65536
2024-07-12,97.79,98.54,96.88,97.81,187573
2024-07-13,97.81,98.87,97.49,97.71,179633
2024-07-14,97.71,98.51,96.45,96.75,119480
2024-07-15,96.75,97.15,95.10,96.00,183824
2024-07-16,96.00,96.97,95.84,96.30,228746
2024-07-17,96.30,96.34,95.44,96.11,190831
2024-07-18,96.11,98.37,96.02,97.62,97774
